gene_id	n_exons
ENSG00000049246.15	23
ENSG00000049247.14	7
ENSG00000050030.16	5
ENSG00000050555.19	28
ENSG00000050730.16	13
ENSG00000050767.18	30
ENSG00000053108.17	16
ENSG00000053918.18	16
ENSG00000054356.14	23
ENSG00000054796.13	13
ENSG00000054803.4	3
ENSG00000055118.17	15
ENSG00000055609.21	60
ENSG00000055732.13	13
ENSG00000055813.6	6
ENSG00000055957.11	22
ENSG00000056291.19	5
ENSG00000056487.16	14
ENSG00000057149.16	8
ENSG00000057468.7	20
ENSG00000057704.13	4
ENSG00000058335.16	28
ENSG00000058404.20	24
ENSG00000060140.9	11
ENSG00000060303.5	1
ENSG00000060558.4	7
ENSG00000060566.14	10
ENSG00000060709.15	22
ENSG00000061337.15	4
ENSG00000061492.12	8
ENSG00000061656.11	12
ENSG00000061918.14	15
ENSG00000062038.15	16
ENSG00000062096.15	11
ENSG00000062524.16	20
ENSG00000063515.3	3
ENSG00000064195.7	3
ENSG00000064218.5	2
ENSG00000064300.9	6
ENSG00000064309.16	21
ENSG00000064692.20	14
ENSG00000064835.12	6
ENSG00000064886.14	13
ENSG00000065320.9	7
ENSG00000065371.17	7
ENSG00000065609.14	30
ENSG00000065618.21	56
ENSG00000065621.15	7
ENSG00000065717.15	20
ENSG00000066056.14	23
ENSG00000066294.15	8
ENSG00000066336.12	5
ENSG00000066382.17	8
ENSG00000066468.24	19
ENSG00000066813.14	15
ENSG00000067445.21	14
ENSG00000067842.18	23
ENSG00000068615.19	9
ENSG00000068831.19	17
ENSG00000068976.14	20
ENSG00000068985.5	6
ENSG00000069018.19	12
ENSG00000069020.18	29
ENSG00000069122.19	21
ENSG00000069188.17	45
ENSG00000069696.7	4
ENSG00000070031.4	4
ENSG00000070190.13	10
ENSG00000070193.5	3
ENSG00000070729.14	33
ENSG00000070748.19	16
ENSG00000070808.17	20
ENSG00000070886.12	17
ENSG00000070915.10	26
ENSG00000070985.13	24
ENSG00000071203.9	7
ENSG00000071575.12	3
ENSG00000071677.1	2
ENSG00000071909.19	35
ENSG00000072080.11	8
ENSG00000072315.4	11
ENSG00000072694.21	8
ENSG00000072818.12	22
ENSG00000073067.14	9
ENSG00000073146.16	28
ENSG00000073734.10	28
ENSG00000073754.6	6
ENSG00000073861.3	6
ENSG00000073910.23	62
ENSG00000074317.11	7
ENSG00000074660.16	11
ENSG00000074771.4	14
ENSG00000074966.11	15
ENSG00000075035.10	10
ENSG00000075043.20	17
ENSG00000075073.15	6
ENSG00000075388.4	3
ENSG00000075429.9	6
ENSG00000075673.12	23
ENSG00000075884.14	14
ENSG00000076258.10	10
ENSG00000076641.4	9
ENSG00000076716.9	9
ENSG00000077009.13	8
ENSG00000077063.11	23
ENSG00000077274.9	13
ENSG00000077279.20	8
ENSG00000077327.16	11
ENSG00000077498.9	5
ENSG00000077522.15	23
ENSG00000077800.13	9
ENSG00000077943.8	30
ENSG00000078018.21	17
ENSG00000078043.16	14
ENSG00000078053.17	21
ENSG00000078081.8	6
ENSG00000078098.14	26
ENSG00000078295.17	25
ENSG00000078328.23	20
ENSG00000078549.15	17
ENSG00000078579.9	3
ENSG00000078589.13	4
ENSG00000078596.11	6
ENSG00000078725.13	8
ENSG00000078898.7	16
ENSG00000079102.16	15
ENSG00000079215.15	13
ENSG00000079335.20	17
ENSG00000079557.5	15
ENSG00000079689.14	11
ENSG00000079841.18	34
ENSG00000080166.16	10
ENSG00000080224.17	18
ENSG00000080293.10	13
ENSG00000080511.5	6
ENSG00000080572.13	8
ENSG00000080573.7	67
ENSG00000080709.16	11
ENSG00000080854.16	20
ENSG00000080910.13	6
ENSG00000081138.14	12
ENSG00000081148.12	19
ENSG00000081189.16	12
ENSG00000081237.20	33
ENSG00000081248.12	45
ENSG00000081277.13	15
ENSG00000081479.15	79
ENSG00000081665.14	6
ENSG00000081800.9	18
ENSG00000081803.16	30
ENSG00000082175.15	8
ENSG00000082397.18	23
ENSG00000082482.14	7
ENSG00000082556.14	5
ENSG00000082684.16	23
ENSG00000082929.8	4
ENSG00000083067.24	27
ENSG00000083307.12	16
ENSG00000083622.8	3
ENSG00000083782.8	7
ENSG00000084628.10	7
ENSG00000084674.15	29
ENSG00000085265.11	9
ENSG00000085563.15	29
ENSG00000085741.13	6
ENSG00000086205.18	20
ENSG00000086570.13	24
ENSG00000086696.11	5
ENSG00000086717.18	19
ENSG00000086967.10	28
ENSG00000086991.13	19
ENSG00000087085.16	5
ENSG00000087116.16	22
ENSG00000087128.10	10
ENSG00000087237.12	16
ENSG00000087250.9	4
ENSG00000087258.16	10
ENSG00000087495.17	13
ENSG00000087589.17	7
ENSG00000088320.4	5
ENSG00000088340.17	45
ENSG00000088386.17	23
ENSG00000088726.16	12
ENSG00000088756.13	18
ENSG00000088782.5	2
ENSG00000088827.13	22
ENSG00000088882.8	14
ENSG00000088926.14	15
ENSG00000089041.17	14
ENSG00000089116.4	5
ENSG00000089163.4	4
ENSG00000089169.15	22
ENSG00000089225.20	9
ENSG00000089250.19	30
ENSG00000089472.17	23
ENSG00000090402.8	48
ENSG00000090534.20	8
ENSG00000090539.15	24
ENSG00000090659.18	7
ENSG00000090661.12	13
ENSG00000091128.13	34
ENSG00000091137.14	21
ENSG00000091138.13	21
ENSG00000091428.18	31
ENSG00000091482.8	6
ENSG00000091656.19	11
ENSG00000091664.9	12
ENSG00000091704.10	10
ENSG00000091972.18	7
ENSG00000092054.13	40
ENSG00000092067.6	2
ENSG00000092295.12	15
ENSG00000092345.14	11
ENSG00000092377.15	19
ENSG00000092607.15	8
ENSG00000092850.12	10
ENSG00000093072.18	10
ENSG00000093134.15	8
ENSG00000094661.3	2
ENSG00000094755.17	11
ENSG00000094796.5	7
ENSG00000094963.14	9
ENSG00000095110.8	9
ENSG00000095370.20	12
ENSG00000095397.16	12
ENSG00000095464.10	22
ENSG00000095587.9	21
ENSG00000095627.9	26
ENSG00000095637.23	33
ENSG00000095713.14	15
ENSG00000095777.17	35
ENSG00000095917.14	6
ENSG00000095970.17	5
ENSG00000095981.11	6
ENSG00000096006.12	8
ENSG00000096088.16	9
ENSG00000096264.14	6
ENSG00000096395.11	5
ENSG00000097096.9	7
ENSG00000099139.14	38
ENSG00000099399.6	2
ENSG00000099617.4	4
ENSG00000099721.15	7
ENSG00000099725.14	8
ENSG00000099834.19	16
ENSG00000099985.4	3
ENSG00000100012.12	14
ENSG00000100053.10	6
ENSG00000100055.21	13
ENSG00000100068.14	8
ENSG00000100078.4	7
ENSG00000100095.19	17
ENSG00000100122.7	6
ENSG00000100167.20	12
ENSG00000100170.10	15
ENSG00000100181.22	9
ENSG00000100191.6	15
ENSG00000100234.12	5
ENSG00000100249.5	3
ENSG00000100253.13	10
ENSG00000100285.10	4
ENSG00000100290.3	5
ENSG00000100298.16	6
ENSG00000100307.13	6
ENSG00000100312.11	5
ENSG00000100336.18	6
ENSG00000100341.12	9
ENSG00000100346.18	37
ENSG00000100351.17	8
ENSG00000100362.13	5
ENSG00000100365.16	11
ENSG00000100368.14	15
ENSG00000100373.10	6
ENSG00000100427.16	12
ENSG00000100448.4	5
ENSG00000100450.13	5
ENSG00000100453.13	6
ENSG00000100565.15	15
ENSG00000100604.13	8
ENSG00000100628.12	10
ENSG00000100652.5	5
ENSG00000100665.12	5
ENSG00000100678.19	8
ENSG00000100721.11	5
ENSG00000100842.13	6
ENSG00000100884.9	18
ENSG00000100968.14	11
ENSG00000100987.15	6
ENSG00000101115.13	4
ENSG00000101134.12	8
ENSG00000101144.13	7
ENSG00000101180.16	5
ENSG00000101188.5	4
ENSG00000101194.18	14
ENSG00000101200.5	3
ENSG00000101203.16	36
ENSG00000101204.18	6
ENSG00000101222.12	7
ENSG00000101230.6	6
ENSG00000101276.18	6
ENSG00000101280.8	9
ENSG00000101282.9	5
ENSG00000101292.8	3
ENSG00000101306.11	13
ENSG00000101327.9	4
ENSG00000101331.17	10
ENSG00000101336.18	14
ENSG00000101349.17	11
ENSG00000101405.3	3
ENSG00000101425.14	15
ENSG00000101435.5	3
ENSG00000101438.4	2
ENSG00000101443.18	5
ENSG00000101446.8	2
ENSG00000101448.14	4
ENSG00000101638.14	9
ENSG00000101680.15	63
ENSG00000101746.16	11
ENSG00000101812.15	4
ENSG00000101825.8	7
ENSG00000101883.5	3
ENSG00000101890.5	20
ENSG00000101892.12	8
ENSG00000101916.12	3
ENSG00000101938.15	12
ENSG00000101951.17	5
ENSG00000101958.14	11
ENSG00000101977.21	29
ENSG00000101981.12	8
ENSG00000102001.13	48
ENSG00000102021.11	4
ENSG00000102032.13	11
ENSG00000102055.7	1
ENSG00000102076.10	6
ENSG00000102145.15	6
ENSG00000102195.10	2
ENSG00000102230.14	9
ENSG00000102239.5	3
ENSG00000102243.13	5
ENSG00000102245.8	5
ENSG00000102313.9	13
ENSG00000102349.18	7
ENSG00000102383.14	12
ENSG00000102385.13	24
ENSG00000102445.20	17
ENSG00000102466.16	5
ENSG00000102468.11	4
ENSG00000102524.12	6
ENSG00000102678.7	3
ENSG00000102794.10	5
ENSG00000102802.10	5
ENSG00000102837.7	5
ENSG00000102924.12	4
ENSG00000102935.12	9
ENSG00000102962.5	3
ENSG00000102970.11	4
ENSG00000103175.11	7
ENSG00000103200.6	1
ENSG00000103241.7	2
ENSG00000103269.14	8
ENSG00000103310.11	20
ENSG00000103313.13	11
ENSG00000103355.14	7
ENSG00000103375.11	6
ENSG00000103449.12	3
ENSG00000103489.12	12
ENSG00000103522.16	10
ENSG00000103546.19	15
ENSG00000104044.16	24
ENSG00000104055.16	13
ENSG00000104112.9	12
ENSG00000104237.11	29
ENSG00000104267.10	7
ENSG00000104327.7	11
ENSG00000104371.5	4
ENSG00000104413.18	16
ENSG00000104415.14	5
ENSG00000104435.14	6
ENSG00000104447.13	7
ENSG00000104499.7	5
ENSG00000104755.15	21
ENSG00000104804.8	13
ENSG00000104808.8	7
ENSG00000104848.2	2
ENSG00000104879.5	8
ENSG00000104888.10	12
ENSG00000104918.8	4
ENSG00000104921.15	11
ENSG00000104938.18	7
ENSG00000104941.8	6
ENSG00000104970.11	9
ENSG00000104972.16	16
ENSG00000104974.12	10
ENSG00000105122.13	18
ENSG00000105141.6	7
ENSG00000105143.13	10
ENSG00000105198.11	4
ENSG00000105205.7	4
ENSG00000105251.11	6
ENSG00000105278.12	19
ENSG00000105352.10	7
ENSG00000105366.15	7
ENSG00000105370.8	5
ENSG00000105376.5	11
ENSG00000105383.15	7
ENSG00000105392.16	5
ENSG00000105398.4	6
ENSG00000105428.6	1
ENSG00000105492.16	8
ENSG00000105499.14	17
ENSG00000105501.12	10
ENSG00000105507.3	6
ENSG00000105538.10	12
ENSG00000105549.11	8
ENSG00000105550.10	4
ENSG00000105609.17	13
ENSG00000105610.6	3
ENSG00000105641.4	15
ENSG00000105650.22	16
ENSG00000105664.11	19
ENSG00000105668.7	9
ENSG00000105675.9	22
ENSG00000105694.3	2
ENSG00000105695.15	12
ENSG00000105697.9	4
ENSG00000105708.9	4
ENSG00000105717.14	8
ENSG00000105750.15	5
ENSG00000105784.15	12
ENSG00000105792.19	23
ENSG00000105851.11	11
ENSG00000105855.10	15
ENSG00000105880.7	3
ENSG00000105894.12	6
ENSG00000105954.2	3
ENSG00000105967.16	9
ENSG00000105989.10	6
ENSG00000106013.15	16
ENSG00000106018.14	13
ENSG00000106025.9	9
ENSG00000106034.18	23
ENSG00000106038.13	4
ENSG00000106123.12	20
ENSG00000106128.19	13
ENSG00000106178.7	4
ENSG00000106236.4	5
ENSG00000106278.12	32
ENSG00000106302.10	5
ENSG00000106304.16	7
ENSG00000106331.17	12
ENSG00000106341.11	5
ENSG00000106384.12	7
ENSG00000106410.15	10
ENSG00000106436.7	8
ENSG00000106479.11	8
ENSG00000106526.11	8
ENSG00000106536.21	11
ENSG00000106538.10	6
ENSG00000106560.11	3
ENSG00000106565.18	8
ENSG00000106571.15	15
ENSG00000106631.8	7
ENSG00000106633.18	11
ENSG00000106648.14	12
ENSG00000106689.11	5
ENSG00000106852.15	10
ENSG00000107014.9	3
ENSG00000107105.15	8
ENSG00000107147.14	32
ENSG00000107187.17	6
ENSG00000107282.8	13
ENSG00000107295.10	9
ENSG00000107317.13	7
ENSG00000107447.8	11
ENSG00000107485.18	6
ENSG00000107518.18	30
ENSG00000107562.16	4
ENSG00000107611.16	67
ENSG00000107731.12	17
ENSG00000107742.13	12
ENSG00000107807.13	3
ENSG00000107831.14	6
ENSG00000107859.10	4
ENSG00000108001.16	17
ENSG00000108018.16	26
ENSG00000108231.14	9
ENSG00000108309.14	11
ENSG00000108342.13	5
ENSG00000108381.11	7
ENSG00000108387.16	14
ENSG00000108405.4	12
ENSG00000108417.4	7
ENSG00000108442.2	1
ENSG00000108516.5	2
ENSG00000108576.10	15
ENSG00000108622.11	6
ENSG00000108684.15	10
ENSG00000108688.11	3
ENSG00000108700.5	3
ENSG00000108702.4	3
ENSG00000108759.4	7
ENSG00000108771.13	14
ENSG00000108798.9	8
ENSG00000108813.11	4
ENSG00000108849.8	4
ENSG00000108878.5	4
ENSG00000108947.5	5
ENSG00000109047.8	3
ENSG00000109061.10	40
ENSG00000109132.7	3
ENSG00000109158.11	9
ENSG00000109181.12	6
ENSG00000109182.12	16
ENSG00000109193.12	8
ENSG00000109205.17	12
ENSG00000109208.5	3
ENSG00000109255.11	10
ENSG00000109265.15	11
ENSG00000109272.4	3
ENSG00000109424.4	6
ENSG00000109458.8	11
ENSG00000109471.5	4
ENSG00000109472.14	9
ENSG00000109610.6	3
ENSG00000109625.19	11
ENSG00000109705.8	2
ENSG00000109819.9	15
ENSG00000109832.14	12
ENSG00000109851.7	4
ENSG00000109944.11	9
ENSG00000109956.13	7
ENSG00000109991.9	12
ENSG00000110002.16	19
ENSG00000110076.19	23
ENSG00000110077.15	8
ENSG00000110079.19	8
ENSG00000110148.10	5
ENSG00000110195.14	6
ENSG00000110203.9	6
ENSG00000110243.12	4
ENSG00000110244.7	3
ENSG00000110245.12	4
ENSG00000110324.11	8
ENSG00000110436.13	14
ENSG00000110448.11	11
ENSG00000110484.7	3
ENSG00000110675.13	13
ENSG00000110680.13	6
ENSG00000110723.12	7
ENSG00000110786.18	15
ENSG00000110799.14	52
ENSG00000110848.8	5
ENSG00000110876.10	2
ENSG00000110887.8	11
ENSG00000110900.16	8
ENSG00000110975.8	9
ENSG00000111046.4	3
ENSG00000111049.4	3
ENSG00000111218.12	12
ENSG00000111224.14	10
ENSG00000111241.3	3
ENSG00000111245.17	7
ENSG00000111249.14	22
ENSG00000111262.6	3
ENSG00000111344.11	22
ENSG00000111404.7	8
ENSG00000111432.5	1
ENSG00000111536.5	5
ENSG00000111537.5	4
ENSG00000111701.7	5
ENSG00000111704.11	6
ENSG00000111732.11	5
ENSG00000111863.13	7
ENSG00000111886.11	9
ENSG00000111981.5	5
ENSG00000112041.13	15
ENSG00000112077.17	11
ENSG00000112115.7	3
ENSG00000112116.10	3
ENSG00000112164.6	13
ENSG00000112175.8	7
ENSG00000112182.15	9
ENSG00000112195.9	5
ENSG00000112214.11	7
ENSG00000112218.9	2
ENSG00000112232.10	10
ENSG00000112238.12	4
ENSG00000112246.10	12
ENSG00000112280.18	38
ENSG00000112299.8	7
ENSG00000112303.14	8
ENSG00000112320.12	7
ENSG00000112333.12	9
ENSG00000112394.17	6
ENSG00000112425.16	6
ENSG00000112462.8	1
ENSG00000112494.10	8
ENSG00000112530.11	7
ENSG00000112539.15	9
ENSG00000112559.15	6
ENSG00000112561.19	10
ENSG00000112562.19	13
ENSG00000112619.8	3
ENSG00000112706.12	17
ENSG00000112761.21	7
ENSG00000112782.19	9
ENSG00000112796.10	5
ENSG00000112799.9	6
ENSG00000112818.11	14
ENSG00000112902.12	25
ENSG00000112936.19	18
ENSG00000112964.14	11
ENSG00000112981.5	6
ENSG00000113088.6	5
ENSG00000113100.10	12
ENSG00000113196.3	2
ENSG00000113262.16	12
ENSG00000113303.12	8
ENSG00000113327.17	11
ENSG00000113430.10	7
ENSG00000113492.14	14
ENSG00000113494.17	10
ENSG00000113721.14	23
ENSG00000113722.17	4
ENSG00000113763.12	16
ENSG00000113805.8	22
ENSG00000114013.16	7
ENSG00000114204.15	10
ENSG00000114248.10	9
ENSG00000114251.15	6
ENSG00000114349.10	9
ENSG00000114455.13	11
ENSG00000114487.10	28
ENSG00000114646.10	5
ENSG00000114796.16	9
ENSG00000115041.13	9
ENSG00000115085.14	14
ENSG00000115155.19	47
ENSG00000115165.10	9
ENSG00000115194.11	8
ENSG00000115252.18	15
ENSG00000115257.15	15
ENSG00000115263.15	6
ENSG00000115297.11	4
ENSG00000115339.14	11
ENSG00000115353.11	5
ENSG00000115386.6	6
ENSG00000115488.3	2
ENSG00000115507.10	5
ENSG00000115523.17	6
ENSG00000115592.11	14
ENSG00000115593.15	10
ENSG00000115596.4	4
ENSG00000115598.10	12
ENSG00000115602.17	11
ENSG00000115604.12	12
ENSG00000115607.9	12
ENSG00000115665.9	9
ENSG00000115705.22	17
ENSG00000115844.11	3
ENSG00000115850.10	17
ENSG00000115896.16	7
ENSG00000115934.11	2
ENSG00000115956.10	9
ENSG00000116031.9	6
ENSG00000116106.12	18
ENSG00000116117.18	23
ENSG00000116132.12	5
ENSG00000116141.17	19
ENSG00000116147.17	24
ENSG00000116157.6	3
ENSG00000116218.13	8
ENSG00000116299.17	22
ENSG00000116396.15	5
ENSG00000116544.12	12
ENSG00000116721.9	4
ENSG00000116726.5	3
ENSG00000116745.7	14
ENSG00000116748.22	16
ENSG00000116819.9	7
ENSG00000116824.5	5
ENSG00000116852.15	35
ENSG00000116882.15	9
ENSG00000116981.4	6
ENSG00000116983.13	5
ENSG00000116990.11	3
ENSG00000116996.10	13
ENSG00000117010.17	6
ENSG00000117013.17	14
ENSG00000117069.15	5
ENSG00000117090.15	8
ENSG00000117091.10	4
ENSG00000117152.14	6
ENSG00000117154.12	10
ENSG00000117215.15	4
ENSG00000117245.13	15
ENSG00000117266.16	16
ENSG00000117322.18	20
ENSG00000117407.17	5
ENSG00000117480.16	15
ENSG00000117501.15	22
ENSG00000117507.6	8
ENSG00000117560.8	4
ENSG00000117586.11	3
ENSG00000117598.13	7
ENSG00000117600.14	7
ENSG00000117601.15	7
ENSG00000117707.16	5
ENSG00000117834.13	15
ENSG00000118004.18	8
ENSG00000118113.12	12
ENSG00000118156.12	15
ENSG00000118194.20	17
ENSG00000118231.5	3
ENSG00000118298.12	12
ENSG00000118322.14	26
ENSG00000118432.13	4
ENSG00000118434.9	7
ENSG00000118473.23	27
ENSG00000118492.18	36
ENSG00000118513.19	17
ENSG00000118596.12	7
ENSG00000118702.10	5
ENSG00000118729.12	11
ENSG00000118733.17	7
ENSG00000118903.6	2
ENSG00000118946.12	5
ENSG00000118976.5	1
ENSG00000118990.5	1
ENSG00000119147.10	5
ENSG00000119283.16	12
ENSG00000119411.11	6
ENSG00000119440.8	6
ENSG00000119535.18	18
ENSG00000119547.6	3
ENSG00000119630.14	7
ENSG00000119660.4	1
ENSG00000119698.12	25
ENSG00000119714.11	3
ENSG00000119771.15	14
ENSG00000119866.22	7
ENSG00000119913.6	11
ENSG00000119915.5	4
ENSG00000119919.11	3
ENSG00000119973.6	2
ENSG00000120057.5	3
ENSG00000120094.9	2
ENSG00000120156.22	23
ENSG00000120235.4	1
ENSG00000120242.4	1
ENSG00000120251.21	17
ENSG00000120262.10	11
ENSG00000120278.16	16
ENSG00000120279.6	3
ENSG00000120280.6	3
ENSG00000120289.12	1
ENSG00000120332.16	19
ENSG00000120337.10	3
ENSG00000120436.4	1
ENSG00000120440.15	6
ENSG00000120471.16	4
ENSG00000120500.18	17
ENSG00000120555.13	4
ENSG00000120563.10	5
ENSG00000120594.17	14
ENSG00000120645.12	14
ENSG00000120659.15	7
ENSG00000120669.16	11
ENSG00000120675.6	6
ENSG00000120693.14	7
ENSG00000120903.13	7
ENSG00000120907.18	3
ENSG00000120937.9	3
ENSG00000120949.15	15
ENSG00000120952.4	4
ENSG00000121053.6	13
ENSG00000121075.11	9
ENSG00000121089.4	1
ENSG00000121101.16	33
ENSG00000121207.12	6
ENSG00000121314.3	1
ENSG00000121335.12	4
ENSG00000121377.2	1
ENSG00000121381.4	1
ENSG00000121388.6	3
ENSG00000121440.15	10
ENSG00000121446.20	22
ENSG00000121570.12	7
ENSG00000121634.6	2
ENSG00000121742.19	5
ENSG00000121743.4	2
ENSG00000121769.8	6
ENSG00000121797.10	3
ENSG00000121807.7	3
ENSG00000121853.4	2
ENSG00000121871.4	2
ENSG00000121898.13	20
ENSG00000121903.15	8
ENSG00000121904.18	71
ENSG00000121966.7	2
ENSG00000122025.15	25
ENSG00000122035.7	4
ENSG00000122043.11	6
ENSG00000122121.12	21
ENSG00000122122.10	8
ENSG00000122133.17	7
ENSG00000122136.14	7
ENSG00000122145.15	9
ENSG00000122176.12	3
ENSG00000122180.5	3
ENSG00000122188.13	5
ENSG00000122194.19	19
ENSG00000122223.13	9
ENSG00000122224.18	10
ENSG00000122254.7	4
ENSG00000122367.20	14
ENSG00000122375.12	11
ENSG00000122420.10	5
ENSG00000122543.11	5
ENSG00000122548.5	2
ENSG00000122574.11	9
ENSG00000122584.13	3
ENSG00000122585.8	5
ENSG00000122679.8	4
ENSG00000122691.13	4
ENSG00000122728.6	1
ENSG00000122733.12	8
ENSG00000122756.15	10
ENSG00000122787.15	10
ENSG00000122824.11	3
ENSG00000122852.15	6
ENSG00000122859.5	2
ENSG00000123165.9	1
ENSG00000123171.8	2
ENSG00000123191.16	22
ENSG00000123243.15	14
ENSG00000123307.4	2
ENSG00000123338.13	31
ENSG00000123360.12	16
ENSG00000123388.4	2
ENSG00000123407.4	2
ENSG00000123447.6	2
ENSG00000123453.18	21
ENSG00000123454.12	12
ENSG00000123496.8	11
ENSG00000123561.15	5
ENSG00000123569.10	3
ENSG00000123572.17	29
ENSG00000123576.5	4
ENSG00000123584.7	4
ENSG00000123594.6	2
ENSG00000123612.16	9
ENSG00000123700.5	2
ENSG00000123901.9	4
ENSG00000124003.13	6
ENSG00000124019.10	3
ENSG00000124089.4	1
ENSG00000124092.13	12
ENSG00000124097.7	1
ENSG00000124102.5	3
ENSG00000124134.9	5
ENSG00000124143.10	15
ENSG00000124157.7	3
ENSG00000124159.16	11
ENSG00000124194.17	6
ENSG00000124196.6	2
ENSG00000124203.7	8
ENSG00000124205.18	6
ENSG00000124212.6	10
ENSG00000124215.17	18
ENSG00000124227.5	4
ENSG00000124232.11	12
ENSG00000124233.12	3
ENSG00000124237.6	4
ENSG00000124253.11	10
ENSG00000124256.15	8
ENSG00000124260.12	5
ENSG00000124302.13	5
ENSG00000124343.14	11
ENSG00000124374.9	4
ENSG00000124391.5	3
ENSG00000124399.4	1
ENSG00000124406.16	37
ENSG00000124449.7	2
ENSG00000124466.9	5
ENSG00000124467.19	6
ENSG00000124479.11	4
ENSG00000124490.14	11
ENSG00000124491.16	15
ENSG00000124493.14	11
ENSG00000124507.11	10
ENSG00000124575.7	1
ENSG00000124610.5	1
ENSG00000124613.9	4
ENSG00000124657.1	1
ENSG00000124721.18	93
ENSG00000124731.13	4
ENSG00000124749.17	30
ENSG00000124772.12	21
ENSG00000124780.14	6
ENSG00000124785.9	4
ENSG00000124812.15	8
ENSG00000124818.15	7
ENSG00000124839.13	6
ENSG00000124875.10	4
ENSG00000124900.12	7
ENSG00000124935.4	3
ENSG00000124939.6	3
ENSG00000125207.7	21
ENSG00000125255.7	6
ENSG00000125355.16	10
ENSG00000125384.7	3
ENSG00000125385.9	1
ENSG00000125388.20	16
ENSG00000125414.19	40
ENSG00000125498.20	9
ENSG00000125508.4	8
ENSG00000125514.9	4
ENSG00000125522.4	2
ENSG00000125531.7	2
ENSG00000125533.6	1
ENSG00000125571.10	6
ENSG00000125675.20	17
ENSG00000125735.11	5
ENSG00000125788.6	3
ENSG00000125810.10	2
ENSG00000125813.14	5
ENSG00000125815.9	4
ENSG00000125816.5	2
ENSG00000125820.6	2
ENSG00000125823.12	4
ENSG00000125831.10	3
ENSG00000125845.7	3
ENSG00000125851.10	13
ENSG00000125861.16	6
ENSG00000125869.10	6
ENSG00000125872.8	5
ENSG00000125878.7	2
ENSG00000125879.5	4
ENSG00000125888.15	4
ENSG00000125899.8	6
ENSG00000125903.4	2
ENSG00000125910.6	2
ENSG00000125965.9	4
ENSG00000125997.5	6
ENSG00000126010.6	3
ENSG00000126016.17	14
ENSG00000126218.12	8
ENSG00000126231.15	9
ENSG00000126233.2	3
ENSG00000126251.6	2
ENSG00000126262.5	2
ENSG00000126266.3	1
ENSG00000126337.14	8
ENSG00000126467.11	11
ENSG00000126545.14	16
ENSG00000126549.11	6
ENSG00000126550.10	6
ENSG00000126733.21	13
